time,open,high,low,close,LOC,EMA,EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side)
1766772000,87685,87765,87505,87640,87555,88225.30322621547,-1,-1,-1,0,0,0,0
1766775600,87645,87980,87600,87870,87555,,-1,-1,-1,0,0,0,0
1766779200,87850,88210,87765,87955,87755,,-1,1,0,0,0,0,0
1766782800,87950,88080,87815,87815,87755,88088.53548414365,-1,1,0,0,0,0,0
1766962800,88155,88470,87960,88360,87755,,1,1,1,0,0,0,0
1766966400,88335,88840,88195,88715,87960,,1,1,1,0,0,0,0
1766970000,88705,88920,88225,88870,88385,,1,1,1,0,0,0,0
1766973600,88900,89885,88900,89655,88900,88610.69032276243,1,1,1,0,0,0,0
1766977200,89655,90735,89585,90635,89470,,1,1,1,0,0,0,0
1766980800,90715,90990,90485,90710,90485,,1,1,1,0,0,0,0
1766984400,90730,90920,90535,90590,90485,,1,1,1,0,0,0,0
1766988000,90620,90760,90375,90405,90485,89208.79354850829,1,1,1,0,0,0,0
1766991600,90415,90480,90070,90145,90480,,1,-1,0,0,0,0,0
1766995200,90160,90335,89930,90040,90250,,1,-1,0,0,0,0,0
1766998800,90040,90100,88145,88505,90250,,-1,-1,-1,0,0,0,0
1767002400,88485,88655,87970,88160,88655,88859.19569900552,-1,-1,-1,0,0,0,0
1767006000,88135,88185,87885,87900,88185,,-1,-1,-1,0,0,0,0
1767009600,87905,87970,87085,87680,88185,,-1,-1,-1,0,0,0,0
1767013200,87675,87840,87460,87730,87725,,-1,-1,-1,0,0,0,0
1767016800,87705,88565,87560,87745,87725,88487.79713267034,-1,-1,-1,0,0,0,0
1767020400,87745,88260,87500,88015,87725,,-1,-1,-1,0,0,0,0
1767024000,88010,88210,87755,88010,87725,,-1,-1,-1,0,0,0,0
1767027600,88020,88235,87685,88230,87725,,-1,-1,-1,0,0,0,0
1767031200,88205,88395,87680,87790,87725,88255.1980884469,-1,-1,-1,0,0,0,0
1767034800,87815,88045,87650,87725,87725,,-1,-1,-1,0,0,0,0
1767038400,87695,87955,87380,87535,87725,,-1,-1,-1,0,0,0,0
1767042000,87530,87720,87485,87645,87725,88051.79872563126,-1,-1,-1,0,0,0,0
1767049200,87640,87755,87450,87555,87725,,-1,-1,-1,0,0,0,0
1767052800,87540,87665,87390,87565,87725,,-1,-1,-1,0,0,0,0
1767056400,87545,87670,87420,87605,87725,,-1,-1,-1,0,0,0,0
1767060000,87635,87640,87255,87385,87725,87829.53248375417,-1,-1,-1,0,0,0,0
1767063600,87360,87760,87105,87715,87725,,-1,-1,-1,0,0,0,0
1767067200,87715,87835,87605,87645,87725,,-1,-1,-1,0,0,0,0
1767070800,87635,87720,87460,87550,87725,,-1,-1,-1,0,0,0,0
